match_no,date,team1,team2,predicted_winner,actual_winner,confidence_pct,correct
1254098,13-May-2021,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,59.5,1
1254099,14-May-2021,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,57.2,1
1254100,15-May-2021,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,52.3,0
1254101,16-May-2021,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,60.0,1
1254102,17-May-2021,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Punjab Kings,55.9,1
1254103,18-May-2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,53.2,1
1254104,19-May-2021,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,50.5,1
1254105,20-May-2021,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Delhi Capitals,54.5,1
1254106,21-May-2021,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,60.3,0
1254107,22-May-2021,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,58.4,0
1254108,23-May-2021,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,50.2,1
1254109,24-May-2021,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,52.4,1
1254110,25-May-2021,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,57.6,1
1254111,26-May-2021,Rajasthan Royals,Punjab Kings,Punjab Kings,Rajasthan Royals,52.1,0
1254112,27-May-2021,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,55.6,1
1254113,28-May-2021,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,51.1,1
1254114,01-Jun-2021,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.3,1
1254115,02-Jun-2021,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,56.3,1
1254116,03-Jun-2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,61.5,1
1254117,04-Jun-2021,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,59.0,0
1304047,02-Apr-2022,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,63.7,1
1304048,03-Apr-2022,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,50.6,1
1304049,04-Apr-2022,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Punjab Kings,50.2,1
1304050,05-Apr-2022,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Gujarat Titans,57.9,1
1304051,06-Apr-2022,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,55.7,0
1304052,07-Apr-2022,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,56.6,1
1304053,08-Apr-2022,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,58.4,1
1304054,09-Apr-2022,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,56.3,1
1304055,10-Apr-2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Rajasthan Royals,51.0,0
1304056,11-Apr-2022,Gujarat Titans,Delhi Capitals,Delhi Capitals,Gujarat Titans,56.7,0
1304057,12-Apr-2022,Punjab Kings,Chennai Super Kings,Punjab Kings,Punjab Kings,51.7,1
1304058,13-Apr-2022,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,56.2,0
1304059,14-Apr-2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,58.1,1
1304060,15-Apr-2022,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,55.1,1
1304061,16-Apr-2022,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,57.5,1
1304062,17-Apr-2022,Punjab Kings,Gujarat Titans,Punjab Kings,Gujarat Titans,50.2,0
1304063,18-Apr-2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,61.4,1
1304064,19-Apr-2022,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,57.6,1
1304065,20-Apr-2022,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,56.6,0
1304066,21-Apr-2022,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Rajasthan Royals,55.9,0
1304067,22-Apr-2022,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,58.5,1
1304068,23-Apr-2022,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,61.1,0
1304069,24-Apr-2022,Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,54.3,0
1304070,25-Apr-2022,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Gujarat Titans,57.4,0
1304071,26-Apr-2022,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,56.4,1
1304072,27-Apr-2022,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,53.5,0
1304073,28-Apr-2022,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,52.6,0
1304074,01-May-2022,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,53.9,1
1304075,02-May-2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,60.3,1
1304076,03-May-2022,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,50.3,1
1304077,04-May-2022,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,50.9,1
1304078,05-May-2022,Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,51.0,0
1304079,06-May-2022,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,50.4,1
1304080,07-May-2022,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,54.1,0
1304081,08-May-2022,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Titans,50.7,0
1304082,09-May-2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,51.1,1
1304083,10-May-2022,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,59.3,0
1304084,11-May-2022,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Punjab Kings,54.1,0
1304085,12-May-2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,55.3,0
1304086,13-May-2022,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Gujarat Titans,52.5,1
1304087,14-May-2022,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,57.9,1
1304088,15-May-2022,Lucknow Super Giants,Punjab Kings,Punjab Kings,Lucknow Super Giants,57.3,0
1304089,16-May-2022,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,Gujarat Titans,52.4,1
1304090,17-May-2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,51.0,1
1304091,18-May-2022,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Lucknow Super Giants,58.4,0
1304092,19-May-2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,63.8,0
1304093,20-May-2022,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,55.6,1
1304094,21-May-2022,Gujarat Titans,Punjab Kings,Gujarat Titans,Punjab Kings,51.5,0
1304095,22-May-2022,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,50.9,1
1304096,23-May-2022,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,59.4,0
1304097,24-May-2022,Mumbai Indians,Gujarat Titans,Gujarat Titans,Mumbai Indians,51.3,0
1304098,25-May-2022,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,54.1,1
1304099,26-May-2022,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Lucknow Super Giants,55.8,0
1304100,27-May-2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,52.9,0
1304101,28-May-2022,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,57.2,0
1304102,01-Jun-2022,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,54.8,0
1304103,02-Jun-2022,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Gujarat Titans,52.7,0
1304104,03-Jun-2022,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Delhi Capitals,51.2,0
1304105,04-Jun-2022,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,64.3,1
1304106,05-Jun-2022,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,53.0,0
1304107,06-Jun-2022,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,50.8,1
1304108,07-Jun-2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,56.5,1
1304109,08-Jun-2022,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Rajasthan Royals,50.5,0
1304110,09-Jun-2022,Delhi Capitals,Punjab Kings,Punjab Kings,Delhi Capitals,58.5,0
1304111,10-Jun-2022,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,54.0,0
1304112,11-Jun-2022,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Lucknow Super Giants,51.1,0
1304113,12-Jun-2022,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,52.3,1
1304114,13-Jun-2022,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,53.0,0
1304115,14-Jun-2022,Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,62.9,1
1304116,15-Jun-2022,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Punjab Kings,55.1,1
1312197,16-Jun-2022,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Gujarat Titans,50.1,1
1312198,17-Jun-2022,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,50.4,1
1312199,18-Jun-2022,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,53.2,1
1312200,19-Jun-2022,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Gujarat Titans,55.3,1
1359475,02-Apr-2023,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,60.5,1
1359476,03-Apr-2023,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,54.5,0
1359477,04-Apr-2023,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Lucknow Super Giants,51.2,0
1359478,05-Apr-2023,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,57.1,0
1359479,06-Apr-2023,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,56.5,1
1359480,07-Apr-2023,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Chennai Super Kings,60.9,0
1359481,08-Apr-2023,Delhi Capitals,Gujarat Titans,Gujarat Titans,Gujarat Titans,55.3,1
1359482,09-Apr-2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,52.0,0
1359483,10-Apr-2023,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,57.1,0
1359484,11-Apr-2023,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,50.8,1
1359485,12-Apr-2023,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,52.0,1
1359486,13-Apr-2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.7,1
1359487,14-Apr-2023,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,53.3,1
1359488,15-Apr-2023,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,57.9,1
1359489,16-Apr-2023,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,50.5,1
1359490,17-Apr-2023,Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,56.8,1
1359491,18-Apr-2023,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,50.1,0
1359492,19-Apr-2023,Punjab Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,53.7,1
1359493,20-Apr-2023,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,51.5,1
1359494,21-Apr-2023,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,51.3,1
1359495,22-Apr-2023,Lucknow Super Giants,Punjab Kings,Punjab Kings,Punjab Kings,54.1,1
1359496,23-Apr-2023,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,60.0,1
1359497,24-Apr-2023,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,60.0,1
1359498,25-Apr-2023,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,62.4,0
1359499,26-Apr-2023,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,59.4,0
1359500,27-Apr-2023,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants,59.3,0
1359501,28-Apr-2023,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,53.6,0
1359502,01-May-2023,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,51.6,1
1359503,02-May-2023,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,52.2,0
1359504,03-May-2023,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,50.5,1
1359505,04-May-2023,Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,57.0,0
1359506,05-May-2023,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,52.0,0
1359507,06-May-2023,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,59.1,0
1359508,07-May-2023,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,50.1,0
1359509,08-May-2023,Gujarat Titans,Mumbai Indians,Mumbai Indians,Gujarat Titans,58.9,0
1359510,09-May-2023,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,58.0,0
1359511,10-May-2023,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,58.9,0
1359512,11-May-2023,Lucknow Super Giants,Punjab Kings,Punjab Kings,Lucknow Super Giants,58.2,0
1359513,12-May-2023,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,Gujarat Titans,53.9,1
1359514,13-May-2023,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,53.0,0
1359515,14-May-2023,Chennai Super Kings,Punjab Kings,Punjab Kings,Punjab Kings,50.0,1
1359516,15-May-2023,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,55.8,1
1359517,16-May-2023,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,Royal Challengers Bangalore,50.6,0
1359518,17-May-2023,Delhi Capitals,Gujarat Titans,Gujarat Titans,Delhi Capitals,54.1,0
1359520,18-May-2023,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,55.2,1
1359521,19-May-2023,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,50.7,0
1359522,20-May-2023,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Gujarat Titans,56.9,1
1359523,21-May-2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,52.4,1
1359524,22-May-2023,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Delhi Capitals,52.9,1
1359525,23-May-2023,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Gujarat Titans,58.6,0
1359526,24-May-2023,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,51.6,1
1359527,25-May-2023,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,52.0,1
1359528,26-May-2023,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.8,1
1359529,27-May-2023,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,54.3,0
1359530,28-May-2023,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,56.4,1
1359531,01-Jun-2023,Mumbai Indians,Gujarat Titans,Gujarat Titans,Mumbai Indians,57.1,0
1359532,02-Jun-2023,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,55.4,1
1359533,03-Jun-2023,Punjab Kings,Delhi Capitals,Punjab Kings,Punjab Kings,51.5,1
1359534,04-Jun-2023,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,53.4,0
1359535,05-Jun-2023,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,52.1,1
1359536,06-Jun-2023,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Titans,61.0,0
1359537,07-Jun-2023,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,53.4,0
1359538,08-Jun-2023,Delhi Capitals,Punjab Kings,Punjab Kings,Delhi Capitals,59.4,0
1359539,09-Jun-2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,54.5,1
1359540,10-Jun-2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,53.8,1
1359541,11-Jun-2023,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,51.2,0
1359542,12-Jun-2023,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Lucknow Super Giants,53.8,0
1359543,13-Jun-2023,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.0,1
1359544,14-Jun-2023,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,50.5,0
1370350,15-Jun-2023,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Chennai Super Kings,59.8,0
1370351,16-Jun-2023,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,Mumbai Indians,52.6,0
1370352,17-Jun-2023,Gujarat Titans,Mumbai Indians,Mumbai Indians,Gujarat Titans,58.9,0
1370353,18-Jun-2023,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,56.1,1
1422119,02-Apr-2024,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,57.0,1
1422120,03-Apr-2024,Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,60.6,1
1422121,04-Apr-2024,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,57.5,0
1422122,05-Apr-2024,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Rajasthan Royals,55.3,0
1422123,06-Apr-2024,Gujarat Titans,Mumbai Indians,Mumbai Indians,Gujarat Titans,58.9,0
1422124,07-Apr-2024,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,55.0,1
1422125,08-Apr-2024,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Chennai Super Kings,59.8,0
1422126,09-Apr-2024,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,52.7,0
1422127,10-Apr-2024,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,53.0,0
1422128,11-Apr-2024,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.2,1
1422129,12-Apr-2024,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,51.7,1
1422130,13-Apr-2024,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Gujarat Titans,55.7,1
1422131,14-Apr-2024,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,53.7,0
1422132,15-Apr-2024,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,59.6,1
1422133,16-Apr-2024,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,Lucknow Super Giants,57.3,0
1422134,17-Apr-2024,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,53.2,0
1422135,18-Apr-2024,Gujarat Titans,Punjab Kings,Punjab Kings,Punjab Kings,59.6,1
1422136,19-Apr-2024,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,65.1,1
1422137,20-Apr-2024,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,54.8,1
1422138,21-Apr-2024,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,56.4,0
1422139,22-Apr-2024,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Lucknow Super Giants,51.4,0
1426260,23-Apr-2024,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,53.9,1
1426261,24-Apr-2024,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,51.5,0
1426262,25-Apr-2024,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Gujarat Titans,53.8,1
1426263,26-Apr-2024,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.8,1
1426264,27-Apr-2024,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Delhi Capitals,52.5,1
1426265,28-Apr-2024,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,55.0,1
1426266,01-May-2024,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,53.8,1
1426267,02-May-2024,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,64.3,0
1426268,03-May-2024,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,52.0,0
1426269,04-May-2024,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,56.4,1
1426270,05-May-2024,Gujarat Titans,Delhi Capitals,Delhi Capitals,Delhi Capitals,56.8,1
1426271,06-May-2024,Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,56.1,0
1426272,07-May-2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,58.3,1
1426273,08-May-2024,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,54.6,1
1426274,09-May-2024,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,57.1,0
1426275,10-May-2024,Punjab Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,54.6,1
1426276,11-May-2024,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,52.8,1
1426277,12-May-2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,60.9,1
1426278,13-May-2024,Delhi Capitals,Gujarat Titans,Gujarat Titans,Delhi Capitals,55.3,0
1426279,14-May-2024,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,51.6,0
1426280,15-May-2024,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Punjab Kings,56.0,1
1426281,16-May-2024,Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,56.8,0
1426282,17-May-2024,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,54.5,1
1426283,18-May-2024,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,60.7,1
1426284,19-May-2024,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,63.3,0
1426285,20-May-2024,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.9,1
1426286,21-May-2024,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,52.2,1
1426287,22-May-2024,Chennai Super Kings,Punjab Kings,Punjab Kings,Punjab Kings,61.9,1
1426288,23-May-2024,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,53.3,0
1426289,24-May-2024,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,60.0,0
1426290,25-May-2024,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,59.5,1
1426291,26-May-2024,Chennai Super Kings,Punjab Kings,Punjab Kings,Chennai Super Kings,60.9,0
1426292,27-May-2024,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,Kolkata Knight Riders,53.8,0
1426293,28-May-2024,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.0,1
1426294,01-Jun-2024,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,57.8,0
1426295,02-Jun-2024,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,50.8,1
1426296,03-Jun-2024,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,51.1,0
1426297,04-Jun-2024,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,Gujarat Titans,56.1,0
1426298,05-Jun-2024,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,55.3,0
1426299,06-Jun-2024,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,56.7,1
1426300,07-Jun-2024,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,51.3,1
1426302,08-Jun-2024,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,Delhi Capitals,56.4,0
1426303,09-Jun-2024,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Punjab Kings,51.4,0
1426305,10-Jun-2024,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,59.3,0
1426306,11-Jun-2024,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,52.0,1
