match_no,date,team1,team2,predicted_winner,actual_winner,confidence_pct,correct
501267,13-Jun-2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,55.3,1
501268,14-Jun-2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,51.9,1
501269,15-Jun-2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,60.0,1
501270,16-Jun-2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,51.0,0
501271,17-Jun-2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,52.0,1
548306,02-Apr-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,60.8,1
548307,03-Apr-2012,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,53.2,1
548308,04-Apr-2012,Pune Warriors,Mumbai Indians,Mumbai Indians,Pune Warriors,57.8,0
548309,05-Apr-2012,Rajasthan Royals,Punjab Kings,Punjab Kings,Rajasthan Royals,55.9,0
548310,06-Apr-2012,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,51.0,1
548311,07-Apr-2012,Chennai Super Kings,Deccan Chargers,Deccan Chargers,Chennai Super Kings,57.1,0
548312,08-Apr-2012,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,54.5,0
548313,09-Apr-2012,Pune Warriors,Punjab Kings,Punjab Kings,Pune Warriors,54.1,0
548314,10-Apr-2012,Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,50.5,0
548315,11-Apr-2012,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,58.3,0
548316,12-Apr-2012,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,56.1,1
548317,13-Apr-2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,59.6,0
548318,14-Apr-2012,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,56.6,1
548319,15-Apr-2012,Pune Warriors,Punjab Kings,Punjab Kings,Punjab Kings,56.8,1
548320,16-Apr-2012,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,52.1,1
548321,17-Apr-2012,Deccan Chargers,Delhi Capitals,Delhi Capitals,Delhi Capitals,51.3,1
548322,18-Apr-2012,Chennai Super Kings,Pune Warriors,Pune Warriors,Pune Warriors,53.5,1
548323,19-Apr-2012,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,51.5,0
